duration: 0y 0d 0h 29m 27s 380ms
feedback: 
form-load-time: 1294348418082
form-submit-time: 1294350196588
jQuery.browser.mozilla: true
jQuery.browser.msie: 
jQuery.browser.opera: 
jQuery.browser.safari: 
jQuery.browser.version: 1.9.2.13
jQuery.browser.webkit: 
navigator.appCodeName: Netscape|Mozilla
navigator.appVersion: 5.0 (Windows; en-US)
navigator.platform: Win32
navigator.userAgent: Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13
navigator.vendor: 
reject: 
screenWidth: 1366|768|1304|768|1239|2400
submit: Submit
task-0-did_not_see-count: 0
task-0-duration-of-see-test: 2358
task-0-example-alphabet: tagalog
task-0-example-character-number: 05
task-0-example-id: a3qat9qkqumi2
task-0-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3tqaat9gqka056qumi2.png
task-0-is-correct-answer: true
task-0-test-alphabet: sylheti
task-0-test-character-number: 17
task-0-test-id: amynpl5xzw6q
task-0-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/amsynypll5xh17zzw6q.png
task-0-time-of-doTask: 1294348502667
task-0-time-of-doneTask: 1294348508236
task-0-time-of-showExample: 1294348504837
task-0-time-of-showFirstHint: 1294348503178
task-0-time-of-showNoise: 1294348504888
task-0-time-of-showSecondHint: 1294348503841
task-0-time-of-showTest: 1294348505878
task-0_question: 0
task-1-did_not_see-count: 0
task-1-duration-of-see-test: 2532
task-1-example-alphabet: korean
task-1-example-character-number: 04
task-1-example-id: a1v0p79fynz9j
task-1-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1kv0op7r9fe04fynz9j.png
task-1-is-correct-answer: false
task-1-test-alphabet: korean
task-1-test-character-number: 04
task-1-test-id: a1umhcrj9zfdp
task-1-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1kumohcrrje04j9zfdp.png
task-1-time-of-doTask: 1294348508251
task-1-time-of-doneTask: 1294348513830
task-1-time-of-showExample: 1294348510247
task-1-time-of-showFirstHint: 1294348508750
task-1-time-of-showNoise: 1294348510296
task-1-time-of-showSecondHint: 1294348509251
task-1-time-of-showTest: 1294348511298
task-10-did_not_see-count: 0
task-10-duration-of-see-test: 1388
task-10-example-alphabet: atemayar
task-10-example-character-number: 25
task-10-example-id: awl8tng8e81d
task-10-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/awal8ttneg8m25re81d.png
task-10-is-correct-answer: true
task-10-test-alphabet: myanmar
task-10-test-character-number: 32
task-10-test-id: ay0bjcgydhix
task-10-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/aym0byjcagyn322dhix.png
task-10-time-of-doTask: 1294348596872
task-10-time-of-doneTask: 1294348601313
task-10-time-of-showExample: 1294348598873
task-10-time-of-showFirstHint: 1294348597372
task-10-time-of-showNoise: 1294348598926
task-10-time-of-showSecondHint: 1294348597872
task-10-time-of-showTest: 1294348599925
task-100-did_not_see-count: 0
task-100-duration-of-see-test: 1684
task-100-example-alphabet: korean
task-100-example-character-number: 39
task-100-example-id: a1umhcrj9zfdp
task-100-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1kumohcrrje39j9zfdp.png
task-100-is-correct-answer: false
task-100-test-alphabet: myanmar
task-100-test-character-number: 25
task-100-test-id: a1ehrxjplsq0r
task-100-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1mehyrxajpn25klsq0r.png
task-100-time-of-doTask: 1294349160708
task-100-time-of-doneTask: 1294349165438
task-100-time-of-showExample: 1294349162705
task-100-time-of-showFirstHint: 1294349161207
task-100-time-of-showNoise: 1294349162754
task-100-time-of-showSecondHint: 1294349161707
task-100-time-of-showTest: 1294349163753
task-100_question: 1
task-101-did_not_see-count: 0
task-101-duration-of-see-test: 3306
task-101-example-alphabet: tagalog
task-101-example-character-number: 05
task-101-example-id: a12rfyr8dbn79
task-101-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1t2rafygr8a05edbn79.png
task-101-is-correct-answer: false
task-101-test-alphabet: tagalog
task-101-test-character-number: 05
task-101-test-id: aljsxt6v0a30
task-101-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/altjsaxtg6va05r0a30.png
task-101-time-of-doTask: 1294349165462
task-101-time-of-doneTask: 1294349171831
task-101-time-of-showExample: 1294349167451
task-101-time-of-showFirstHint: 1294349165961
task-101-time-of-showNoise: 1294349167492
task-101-time-of-showSecondHint: 1294349166460
task-101-time-of-showTest: 1294349168525
task-101_question: 0
task-102-did_not_see-count: 0
task-102-duration-of-see-test: 1150
task-102-example-alphabet: korean
task-102-example-character-number: 39
task-102-example-id: a1udqv4pfypkn
task-102-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1kudoqvr4pe39ufypkn.png
task-102-is-correct-answer: true
task-102-test-alphabet: korean
task-102-test-character-number: 39
task-102-test-id: aav4pzxdoebd
task-102-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/aakv4opzrxde397oebd.png
task-102-time-of-doTask: 1294349171857
task-102-time-of-doneTask: 1294349176033
task-102-time-of-showExample: 1294349173844
task-102-time-of-showFirstHint: 1294349172354
task-102-time-of-showNoise: 1294349173889
task-102-time-of-showSecondHint: 1294349172851
task-102-time-of-showTest: 1294349174883
task-102_question: 1
task-103-did_not_see-count: 0
task-103-duration-of-see-test: 3799
task-103-example-alphabet: sylheti
task-103-example-character-number: 28
task-103-example-id: a3r9q9wqm1nyz
task-103-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3sr9yq9lwqh281m1nyz.png
task-103-is-correct-answer: true
task-103-test-alphabet: myanmar
task-103-test-character-number: 32
task-103-test-id: ajf66jwen7bx
task-103-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/ajmf6y6jawen327n7bx.png
task-103-time-of-doTask: 1294349176065
task-103-time-of-doneTask: 1294349182894
task-103-time-of-showExample: 1294349178055
task-103-time-of-showFirstHint: 1294349176559
task-103-time-of-showNoise: 1294349178105
task-103-time-of-showSecondHint: 1294349177055
task-103-time-of-showTest: 1294349179095
task-103_question: 0
task-104-did_not_see-count: 0
task-104-duration-of-see-test: 1164
task-104-example-alphabet: atemayar
task-104-example-character-number: 23
task-104-example-id: ae0ibwt7asth
task-104-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/aea0itbwet7m23easth.png
task-104-is-correct-answer: true
task-104-test-alphabet: atemayar
task-104-test-character-number: 23
task-104-test-id: aljsxt6v0a30
task-104-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/alajstxte6vm23r0a30.png
task-104-time-of-doTask: 1294349182926
task-104-time-of-doneTask: 1294349187127
task-104-time-of-showExample: 1294349184918
task-104-time-of-showFirstHint: 1294349183424
task-104-time-of-showNoise: 1294349184965
task-104-time-of-showSecondHint: 1294349183924
task-104-time-of-showTest: 1294349185963
task-104_question: 1
task-105-did_not_see-count: 0
task-105-duration-of-see-test: 2394
task-105-example-alphabet: tagalog
task-105-example-character-number: 06
task-105-example-id: ay0bjcgydhix
task-105-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/ayt0bajcggya062dhix.png
task-105-is-correct-answer: true
task-105-test-alphabet: sylheti
task-105-test-character-number: 20
task-105-test-id: a30xq7555spo8
task-105-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3s0xyq7l55h20n5spo8.png
task-105-time-of-doTask: 1294349187160
task-105-time-of-doneTask: 1294349192589
task-105-time-of-showExample: 1294349189146
task-105-time-of-showFirstHint: 1294349187658
task-105-time-of-showNoise: 1294349189187
task-105-time-of-showSecondHint: 1294349188157
task-105-time-of-showTest: 1294349190195
task-105_question: 0
task-106-did_not_see-count: 0
task-106-duration-of-see-test: 1761
task-106-example-alphabet: tagalog
task-106-example-character-number: 05
task-106-example-id: avlbkm6qpb1s
task-106-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/avtlbakmg6qa05ipb1s.png
task-106-is-correct-answer: true
task-106-test-alphabet: korean
task-106-test-character-number: 28
task-106-test-id: a1udqv4pfypkn
task-106-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1kudoqvr4pe28ufypkn.png
task-106-time-of-doTask: 1294349192625
task-106-time-of-doneTask: 1294349197454
task-106-time-of-showExample: 1294349194629
task-106-time-of-showFirstHint: 1294349193131
task-106-time-of-showNoise: 1294349194697
task-106-time-of-showSecondHint: 1294349193622
task-106-time-of-showTest: 1294349195693
task-106_question: 0
task-107-did_not_see-count: 0
task-107-duration-of-see-test: 1221
task-107-example-alphabet: atemayar
task-107-example-character-number: 06
task-107-example-id: a1manxzopzden
task-107-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1amatnxezom06lpzden.png
task-107-is-correct-answer: false
task-107-test-alphabet: atemayar
task-107-test-character-number: 25
task-107-test-id: avlbkm6qpb1s
task-107-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/avalbtkme6qm25ipb1s.png
task-107-time-of-doTask: 1294349197483
task-107-time-of-doneTask: 1294349201728
task-107-time-of-showExample: 1294349199459
task-107-time-of-showFirstHint: 1294349197981
task-107-time-of-showNoise: 1294349199492
task-107-time-of-showSecondHint: 1294349198480
task-107-time-of-showTest: 1294349200507
task-107_question: 1
task-108-did_not_see-count: 0
task-108-duration-of-see-test: 9095
task-108-example-alphabet: sylheti
task-108-example-character-number: 17
task-108-example-id: a1j8s7giyto4a
task-108-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1sj8ys7lgih17uyto4a.png
task-108-is-correct-answer: false
task-108-test-alphabet: myanmar
task-108-test-character-number: 31
task-108-test-id: ay0bjcgydhix
task-108-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/aym0byjcagyn312dhix.png
task-108-time-of-doTask: 1294349201763
task-108-time-of-doneTask: 1294349213902
task-108-time-of-showExample: 1294349203757
task-108-time-of-showFirstHint: 1294349202262
task-108-time-of-showNoise: 1294349203805
task-108-time-of-showSecondHint: 1294349202760
task-108-time-of-showTest: 1294349204807
task-108_question: 1
task-109-did_not_see-count: 0
task-109-duration-of-see-test: 1012
task-109-example-alphabet: korean
task-109-example-character-number: 29
task-109-example-id: a3bb99mn3zy37
task-109-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3kbbo99rmne2943zy37.png
task-109-is-correct-answer: true
task-109-test-alphabet: korean
task-109-test-character-number: 29
task-109-test-id: a1manxzopzden
task-109-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1kmaonxrzoe29lpzden.png
task-109-time-of-doTask: 1294349213946
task-109-time-of-doneTask: 1294349217999
task-109-time-of-showExample: 1294349215937
task-109-time-of-showFirstHint: 1294349214442
task-109-time-of-showNoise: 1294349215986
task-109-time-of-showSecondHint: 1294349214939
task-109-time-of-showTest: 1294349216987
task-109_question: 1
task-10_question: 0
task-11-did_not_see-count: 0
task-11-duration-of-see-test: 3235
task-11-example-alphabet: atemayar
task-11-example-character-number: 06
task-11-example-id: a31xqftzcsia2
task-11-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3a1xtqfetzm06icsia2.png
task-11-is-correct-answer: Did Not See
task-11-test-alphabet: atemayar
task-11-test-character-number: 10
task-11-test-id: a1vzhyp8yvxkz
task-11-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1avzthyep8m10byvxkz.png
task-11-time-of-doTask: 1294348601328
task-11-time-of-doneTask: 1294348607759
task-11-time-of-showExample: 1294348603501
task-11-time-of-showFirstHint: 1294348601827
task-11-time-of-showNoise: 1294348603553
task-11-time-of-showSecondHint: 1294348602510
task-11-time-of-showTest: 1294348604524
task-110-did_not_see-count: 0
task-110-duration-of-see-test: 13816
task-110-example-alphabet: korean
task-110-example-character-number: 04
task-110-example-id: a1v0p79fynz9j
task-110-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1kv0op7r9fe04fynz9j.png
task-110-is-correct-answer: true
task-110-test-alphabet: sylheti
task-110-test-character-number: 17
task-110-test-id: atvyxlwe5n03
task-110-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/atsvyyxllweh17h5n03.png
task-110-time-of-doTask: 1294349221035
task-110-time-of-doneTask: 1294349237891
task-110-time-of-showExample: 1294349223029
task-110-time-of-showFirstHint: 1294349221533
task-110-time-of-showNoise: 1294349223075
task-110-time-of-showSecondHint: 1294349222033
task-110-time-of-showTest: 1294349224075
task-110_question: 0
task-111-did_not_see-count: 0
task-111-duration-of-see-test: 883
task-111-example-alphabet: korean
task-111-example-character-number: 04
task-111-example-id: a1umhcrj9zfdp
task-111-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1kumohcrrje04j9zfdp.png
task-111-is-correct-answer: true
task-111-test-alphabet: myanmar
task-111-test-character-number: 01
task-111-test-id: a1aegunf6e081
task-111-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1maeyguanfn0116e081.png
task-111-time-of-doTask: 1294349237928
task-111-time-of-doneTask: 1294349241867
task-111-time-of-showExample: 1294349239921
task-111-time-of-showFirstHint: 1294349238427
task-111-time-of-showNoise: 1294349239969
task-111-time-of-showSecondHint: 1294349238926
task-111-time-of-showTest: 1294349240984
task-111_question: 0
task-112-did_not_see-count: 0
task-112-duration-of-see-test: 2755
task-112-example-alphabet: sylheti
task-112-example-character-number: 19
task-112-example-id: a30xq7555spo8
task-112-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3s0xyq7l55h19n5spo8.png
task-112-is-correct-answer: false
task-112-test-alphabet: sylheti
task-112-test-character-number: 28
task-112-test-id: a1j8s7giyto4a
task-112-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1sj8ys7lgih28uyto4a.png
task-112-time-of-doTask: 1294349241910
task-112-time-of-doneTask: 1294349247715
task-112-time-of-showExample: 1294349243909
task-112-time-of-showFirstHint: 1294349242411
task-112-time-of-showNoise: 1294349243960
task-112-time-of-showSecondHint: 1294349242912
task-112-time-of-showTest: 1294349244960
task-112_question: 1
task-113-did_not_see-count: 0
task-113-duration-of-see-test: 1176
task-113-example-alphabet: sylheti
task-113-example-character-number: 28
task-113-example-id: a3m0kt6kjezd1
task-113-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3sm0yktl6kh28ujezd1.png
task-113-is-correct-answer: true
task-113-test-alphabet: tagalog
task-113-test-character-number: 06
task-113-test-id: ay0bjcgydhix
task-113-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/ayt0bajcggya062dhix.png
task-113-time-of-doTask: 1294349247749
task-113-time-of-doneTask: 1294349251970
task-113-time-of-showExample: 1294349249745
task-113-time-of-showFirstHint: 1294349248247
task-113-time-of-showNoise: 1294349249795
task-113-time-of-showSecondHint: 1294349248746
task-113-time-of-showTest: 1294349250794
task-113_question: 0
task-114-did_not_see-count: 0
task-114-duration-of-see-test: 746
task-114-example-alphabet: tagalog
task-114-example-character-number: 06
task-114-example-id: a12rfyr8dbn79
task-114-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1t2rafygr8a06edbn79.png
task-114-is-correct-answer: true
task-114-test-alphabet: tagalog
task-114-test-character-number: 06
task-114-test-id: a1s3njxhehcip
task-114-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1ts3anjgxha06cehcip.png
task-114-time-of-doTask: 1294349252009
task-114-time-of-doneTask: 1294349255803
task-114-time-of-showExample: 1294349254011
task-114-time-of-showFirstHint: 1294349252507
task-114-time-of-showNoise: 1294349254058
task-114-time-of-showSecondHint: 1294349253015
task-114-time-of-showTest: 1294349255057
task-114_question: 1
task-115-did_not_see-count: 0
task-115-duration-of-see-test: 2909
