duration: 0y 0d 0h 17m 4s 194ms
feedback: Directions are unclear...
form-load-time: 1298903721575
form-submit-time: 1298904751355
jQuery.browser.mozilla: true
jQuery.browser.version: 1.9.2.16
navigator.appCodeName: Mozilla
navigator.appName: Netscape
navigator.appVersion: 5.0 (Windows; en-US)
navigator.platform: Win32
navigator.userAgent: Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.16) Gecko/20110319 Firefox/3.6.16
screenAavilHeight: 760
screenAavilWidth: 1280
screenHeight: 800
screenWidth: 1280
submitButton: Submit
task-0-did_not_see-count: 0
task-0-duration-of-see-test: 2901
task-0-example-alphabet: myanmar
task-0-example-character-number: 01
task-0-example-id: a3qat9qkqumi2
task-0-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3mqayt9aqkn016qumi2.png
task-0-is-correct-answer: false
task-0-test-alphabet: myanmar
task-0-test-character-number: 01
task-0-test-id: aljsxt6v0a30
task-0-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/almjsyxta6vn01r0a30.png
task-0-time-of-doTask: 1298903755078
task-0-time-of-doneTask: 1298903761029
task-0-time-of-showExample: 1298903757078
task-0-time-of-showFirstHint: 1298903755577
task-0-time-of-showNoise: 1298903757129
task-0-time-of-showSecondHint: 1298903756078
task-0-time-of-showTest: 1298903758128
task-0_question: 0
task-1-did_not_see-count: 0
task-1-duration-of-see-test: 2238
task-1-example-alphabet: inuktitut
task-1-example-character-number: 02
task-1-example-id: a3mv1jtwep7xn
task-1-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3imvn1jutwk02hep7xn.png
task-1-is-correct-answer: true
task-1-test-alphabet: inuktitut
task-1-test-character-number: 03
task-1-test-id: aljsxt6v0a30
task-1-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/alijsnxtu6vk03r0a30.png
task-1-time-of-doTask: 1298903761038
task-1-time-of-doneTask: 1298903766327
task-1-time-of-showExample: 1298903763039
task-1-time-of-showFirstHint: 1298903761539
task-1-time-of-showNoise: 1298903763090
task-1-time-of-showSecondHint: 1298903762039
task-1-time-of-showTest: 1298903764089
task-10-did_not_see-count: 0
task-10-duration-of-see-test: 1476
task-10-example-alphabet: inuktitut
task-10-example-character-number: 02
task-10-example-id: a1qku9mccvl35
task-10-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1iqknu9umck02gcvl35.png
task-10-is-correct-answer: true
task-10-test-alphabet: myanmar
task-10-test-character-number: 32
task-10-test-id: a1j8s7giyto4a
task-10-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1mj8ys7agin32uyto4a.png
task-10-time-of-doTask: 1298903817533
task-10-time-of-doneTask: 1298903822058
task-10-time-of-showExample: 1298903819532
task-10-time-of-showFirstHint: 1298903818033
task-10-time-of-showNoise: 1298903819583
task-10-time-of-showSecondHint: 1298903818533
task-10-time-of-showTest: 1298903820582
task-100-did_not_see-count: 0
task-100-duration-of-see-test: 1305
task-100-example-alphabet: sylheti
task-100-example-character-number: 17
task-100-example-id: a3np21apfa18b
task-100-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3snpy21laph17vfa18b.png
task-100-is-correct-answer: true
task-100-test-alphabet: myanmar
task-100-test-character-number: 25
task-100-test-id: a3qat9qkqumi2
task-100-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3mqayt9aqkn256qumi2.png
task-100-time-of-doTask: 1298904239281
task-100-time-of-doneTask: 1298904243637
task-100-time-of-showExample: 1298904241281
task-100-time-of-showFirstHint: 1298904239781
task-100-time-of-showNoise: 1298904241332
task-100-time-of-showSecondHint: 1298904240281
task-100-time-of-showTest: 1298904242331
task-100_question: 0
task-101-did_not_see-count: 0
