duration: 0y 0d 0h 17m 4s 970ms
feedback: When you clicked on the individual images to submit, some would let the image number appear in the box, some would not. You had to scroll for the correct number to get it to submit.\n\nNot sure if thats an error or part of the test!  Thanks!
form-load-time: 1309657809934
form-submit-time: 1309658858862
jQuery.browser.mozilla: true
jQuery.browser.msie: 
jQuery.browser.opera: 
jQuery.browser.safari: 
jQuery.browser.version: 5.0
jQuery.browser.webkit: 
navigator.appCodeName: Mozilla
navigator.appName: Netscape
navigator.appVersion: 5.0 (Windows)
navigator.platform: Win32
navigator.userAgent: Mozilla/5.0 (Windows NT 5.1; rv:5.0) Gecko/20100101 Firefox/5.0
navigator.vendor: 
reject: 
screenAvailHeight: 1020
screenAvailWidth: 1680
screenHeight: 1050
screenWidth: 1680
submit: Submit
task-0-anchor-image-0-alphabet: ulog
task-0-anchor-image-0-anonymous_url: https://jgross.scripts.mit.edu/alphabets/results/accepted-images/a1uz5l9eob5g148sfxpy.png
task-0-anchor-image-0-character-number: 14
task-0-anchor-image-0-id: a1z59eb5sfxpy
task-0-chosen-class: 1
task-0-class-0-image-0-alphabet: myanmar
task-0-class-0-image-0-anonymous_url: https://jgross.scripts.mit.edu/alphabets/results/accepted-images/ajmf6y6jawen287n7bx.png
task-0-class-0-image-0-character-number: 28
task-0-class-0-image-0-id: ajf66jwen7bx
task-0-class-1-image-0-alphabet: ulog
task-0-class-1-image-0-anonymous_url: https://jgross.scripts.mit.edu/alphabets/results/accepted-images/a1uyolvlolug14yv1c9h.png
task-0-class-1-image-0-character-number: 14
task-0-class-1-image-0-id: a1yovlluv1c9h
task-0-class-10-image-0-alphabet: atlantean
task-0-class-10-image-0-anonymous_url: https://jgross.scripts.mit.edu/alphabets/results/accepted-images/azadwt60l62a111ia38.png
task-0-class-10-image-0-character-number: 11
task-0-class-10-image-0-id: azdw6062ia38
task-0-class-11-image-0-alphabet: korean
task-0-class-11-image-0-anonymous_url: https://jgross.scripts.mit.edu/alphabets/results/accepted-images/a1ks3onjrxhe24cehcip.png
task-0-class-11-image-0-character-number: 24
task-0-class-11-image-0-id: a1s3njxhehcip
task-0-class-12-image-0-alphabet: cyrillic
task-0-class-12-image-0-anonymous_url: https://jgross.scripts.mit.edu/alphabets/results/accepted-images/a2c3pysxr2zi14o4f65q.png
task-0-class-12-image-0-character-number: 14
