assignmentId: 2Z8SNTL0XULRU74YMSDMJX5GY731NP
calibration_task-0-keypress: {"altKey":false,"charCode":110,"ctrlKey":false,"keyCode":110,"metaKey":false,"shiftKey":false,"timeStamp":1301230751132,"which":110}
calibration_task-0-keypress_before_show_prompt_count: 0
calibration_task-0-reaction-time: 7174
calibration_task-0-time-of-doTask: 1298897942779
calibration_task-0-time-of-keypress: 1298897951132
calibration_task-0-time-of-showCharacters: 1298897943958
calibration_task-1-keypress: {"altKey":false,"charCode":110,"ctrlKey":false,"keyCode":110,"metaKey":false,"shiftKey":false,"timeStamp":1301230753760,"which":110}
calibration_task-1-keypress_before_show_prompt_count: 0
calibration_task-1-reaction-time: 922
calibration_task-1-time-of-doTask: 1298897952133
calibration_task-1-time-of-keypress: 1298897953760
calibration_task-1-time-of-showCharacters: 1298897952838
calibration_task-10-keypress: {"altKey":false,"charCode":103,"ctrlKey":false,"keyCode":103,"metaKey":false,"shiftKey":false,"timeStamp":1301230783140,"which":103}
calibration_task-10-keypress_before_show_prompt_count: 1
calibration_task-10-reaction-time: 218
calibration_task-10-time-of-doTask: 1298897978658
calibration_task-10-time-of-keypress: 1298897983140
calibration_task-10-time-of-showCharacters: 1298897982922
calibration_task-11-keypress: {"altKey":false,"charCode":103,"ctrlKey":false,"keyCode":103,"metaKey":false,"shiftKey":false,"timeStamp":1301230785814,"which":103}
calibration_task-11-keypress_before_show_prompt_count: 0
calibration_task-11-reaction-time: 223
calibration_task-11-time-of-doTask: 1298897984143
calibration_task-11-time-of-keypress: 1298897985814
calibration_task-11-time-of-showCharacters: 1298897985591
calibration_task-12-keypress: {"altKey":false,"charCode":103,"ctrlKey":false,"keyCode":103,"metaKey":false,"shiftKey":false,"timeStamp":1301230788518,"which":103}
calibration_task-12-keypress_before_show_prompt_count: 0
calibration_task-12-reaction-time: 220
calibration_task-12-time-of-doTask: 1298897986818
calibration_task-12-time-of-keypress: 1298897988518
calibration_task-12-time-of-showCharacters: 1298897988298
calibration_task-13-keypress: {"altKey":false,"charCode":102,"ctrlKey":false,"keyCode":102,"metaKey":false,"shiftKey":false,"timeStamp":1301230790802,"which":102}
calibration_task-13-keypress_before_show_prompt_count: 0
calibration_task-13-reaction-time: 250
calibration_task-13-time-of-doTask: 1298897989522
calibration_task-13-time-of-keypress: 1298897990802
calibration_task-13-time-of-showCharacters: 1298897990552
calibration_task-14-keypress: {"altKey":false,"charCode":103,"ctrlKey":false,"keyCode":103,"metaKey":false,"shiftKey":false,"timeStamp":1301230792812,"which":103}
calibration_task-14-keypress_before_show_prompt_count: 0
calibration_task-14-reaction-time: 230
calibration_task-14-time-of-doTask: 1298897991805
calibration_task-14-time-of-keypress: 1298897992813
calibration_task-14-time-of-showCharacters: 1298897992583
calibration_task-15-keypress: {"altKey":false,"charCode":110,"ctrlKey":false,"keyCode":110,"metaKey":false,"shiftKey":false,"timeStamp":1301230795197,"which":110}
calibration_task-15-keypress_before_show_prompt_count: 0
calibration_task-15-reaction-time: 236
calibration_task-15-time-of-doTask: 1298897993815
calibration_task-15-time-of-keypress: 1298897995197
calibration_task-15-time-of-showCharacters: 1298897994961
calibration_task-16-keypress: {"altKey":false,"charCode":110,"ctrlKey":false,"keyCode":110,"metaKey":false,"shiftKey":false,"timeStamp":1301230797892,"which":110}
calibration_task-16-keypress_before_show_prompt_count: 0
calibration_task-16-reaction-time: 236
calibration_task-16-time-of-doTask: 1298897996200
calibration_task-16-time-of-keypress: 1298897997893
calibration_task-16-time-of-showCharacters: 1298897997657
calibration_task-17-keypress: {"altKey":false,"charCode":110,"ctrlKey":false,"keyCode":110,"metaKey":false,"shiftKey":false,"timeStamp":1301230800346,"which":110}
calibration_task-17-keypress_before_show_prompt_count: 0
calibration_task-17-reaction-time: 180
calibration_task-17-time-of-doTask: 1298897998895
