assignmentId: 2IF46UXFCD45BWPGQ2JNZKIOCT2VTF
calibration_task-0-keypress: {"altKey":false,"charCode":32,"ctrlKey":false,"keyCode":0,"metaKey":false,"shiftKey":false,"timeStamp":1301232943956,"which":32}
calibration_task-0-keypress_before_show_prompt_count: 0
calibration_task-0-reaction-time: 3849
calibration_task-0-time-of-doTask: 1298900138869
calibration_task-0-time-of-keypress: 1298900143958
calibration_task-0-time-of-showCharacters: 1298900140109
calibration_task-1-keypress: {"altKey":false,"charCode":32,"ctrlKey":false,"keyCode":0,"metaKey":false,"shiftKey":false,"timeStamp":1301232946867,"which":32}
calibration_task-1-keypress_before_show_prompt_count: 0
calibration_task-1-reaction-time: 876
calibration_task-1-time-of-doTask: 1298900144971
calibration_task-1-time-of-keypress: 1298900146869
calibration_task-1-time-of-showCharacters: 1298900145993
calibration_task-10-keypress: {"altKey":false,"charCode":32,"ctrlKey":false,"keyCode":0,"metaKey":false,"shiftKey":false,"timeStamp":1301232969962,"which":32}
calibration_task-10-keypress_before_show_prompt_count: 0
calibration_task-10-reaction-time: 283
calibration_task-10-time-of-doTask: 1298900168179
calibration_task-10-time-of-keypress: 1298900169963
calibration_task-10-time-of-showCharacters: 1298900169680
calibration_task-11-keypress: {"altKey":false,"charCode":32,"ctrlKey":false,"keyCode":0,"metaKey":false,"shiftKey":false,"timeStamp":1301232972378,"which":32}
calibration_task-11-keypress_before_show_prompt_count: 0
calibration_task-11-reaction-time: 265
calibration_task-11-time-of-doTask: 1298900170980
calibration_task-11-time-of-keypress: 1298900172379
calibration_task-11-time-of-showCharacters: 1298900172114
calibration_task-12-keypress: {"altKey":false,"charCode":32,"ctrlKey":false,"keyCode":0,"metaKey":false,"shiftKey":false,"timeStamp":1301232974448,"which":32}
calibration_task-12-keypress_before_show_prompt_count: 0
calibration_task-12-reaction-time: 357
calibration_task-12-time-of-doTask: 1298900173399
calibration_task-12-time-of-keypress: 1298900174449
calibration_task-12-time-of-showCharacters: 1298900174092
