duration: 0y 0d 0h 17m 20s 188ms
feedback: It was challenging and I enjoyed it
form-load-time: 1294112209843
form-submit-time: 1294113264597
jQuery.browser.mozilla: true
jQuery.browser.msie: 
jQuery.browser.opera: 
jQuery.browser.safari: 
jQuery.browser.version: 1.9.2.6
jQuery.browser.webkit: 
navigator.appCodeName: Netscape|Mozilla
navigator.appVersion: 5.0 (Windows; en-US)
navigator.platform: Win32
navigator.userAgent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.6) Gecko/20100625 AskTbSB/3.9.1.14019 Firefox/3.6.6
navigator.vendor: 
reject: 
screenWidth: 1280|768|1280|738|1215|2400
submit: Submit
task-0-did_not_see-count: 0
task-0-duration-of-see-test: 1472
task-0-example-alphabet: sylheti
task-0-example-character-number: 15
task-0-example-id: a3pkun3onkucn
task-0-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3spkyunl3oh15znkucn.png
task-0-is-correct-answer: true
task-0-test-alphabet: myanmar
task-0-test-character-number: 04
task-0-test-id: a1s3njxhehcip
task-0-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1ms3ynjaxhn04cehcip.png
task-0-time-of-doTask: 1294112247709
task-0-time-of-doneTask: 1294112252248
task-0-time-of-showExample: 1294112249713
task-0-time-of-showFirstHint: 1294112248211
task-0-time-of-showNoise: 1294112249776
task-0-time-of-showSecondHint: 1294112248712
task-0-time-of-showTest: 1294112250776
task-0_question: 0
task-1-did_not_see-count: 0
task-1-duration-of-see-test: 1419
task-1-example-alphabet: sylheti
task-1-example-character-number: 03
task-1-example-id: a2du3880jbrov
task-1-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2sduy38l80h03mjbrov.png
task-1-is-correct-answer: true
task-1-test-alphabet: sylheti
task-1-test-character-number: 03
task-1-test-id: a1j8s7giyto4a
task-1-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1sj8ys7lgih03uyto4a.png
task-1-time-of-doTask: 1294112252257
task-1-time-of-doneTask: 1294112256740
task-1-time-of-showExample: 1294112254260
task-1-time-of-showFirstHint: 1294112252758
task-1-time-of-showNoise: 1294112254321
task-1-time-of-showSecondHint: 1294112253259
task-1-time-of-showTest: 1294112255321
task-10-did_not_see-count: 0
task-10-duration-of-see-test: 1286
task-10-example-alphabet: tagalog
task-10-example-character-number: 06
task-10-example-id: a1l2fzyn31zvf
task-10-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1tl2afzgyna06s31zvf.png
task-10-is-correct-answer: true
task-10-test-alphabet: atemayar
task-10-test-character-number: 10
task-10-test-id: a6fjbvuzrhm6
task-10-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a6afjtbveuzm10yrhm6.png
task-10-time-of-doTask: 1294112296403
task-10-time-of-doneTask: 1294112300753
task-10-time-of-showExample: 1294112298405
task-10-time-of-showFirstHint: 1294112296903
task-10-time-of-showNoise: 1294112298466
task-10-time-of-showSecondHint: 1294112297404
task-10-time-of-showTest: 1294112299466
task-100-did_not_see-count: 0
task-100-duration-of-see-test: 2278
task-100-example-alphabet: myanmar
task-100-example-character-number: 34
task-100-example-id: a1j8s7giyto4a
task-100-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1mj8ys7agin34uyto4a.png
task-100-is-correct-answer: true
task-100-test-alphabet: tagalog
task-100-test-character-number: 10
task-100-test-id: ae0ibwt7asth
task-100-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/aet0iabwgt7a10easth.png
task-100-time-of-doTask: 1294112740980
task-100-time-of-doneTask: 1294112746322
task-100-time-of-showExample: 1294112742983
task-100-time-of-showFirstHint: 1294112741481
task-100-time-of-showNoise: 1294112743044
task-100-time-of-showSecondHint: 1294112741982
